29 10 2020	14 45	96270	96305	96045	96090
29 10 2020	14 50	96090	96285	96050	96265
29 10 2020	14 55	96260	96390	96175	96360
29 10 2020	15 00	96360	96430	96200	96290
29 10 2020	15 05	96290	96500	96270	96495
29 10 2020	15 10	96495	96520	96295	96425
29 10 2020	15 15	96425	96555	96425	96510
29 10 2020	15 20	96510	96695	96440	96660
29 10 2020	15 25	96665	96730	96610	96645
29 10 2020	15 30	96640	96775	96540	96770
29 10 2020	15 35	96775	96780	96435	96515
29 10 2020	15 40	96515	96670	96505	96550
29 10 2020	15 45	96550	96555	96400	96485
29 10 2020	15 50	96480	96610	96450	96585
29 10 2020	15 55	96585	96630	96530	96580
29 10 2020	16 00	96585	96760	96550	96685
29 10 2020	16 05	96685	96775	96595	96600
29 10 2020	16 10	96605	96635	96380	96420
29 10 2020	16 15	96415	96450	96265	96445
29 10 2020	16 20	96445	96600	96400	96585
29 10 2020	16 25	96580	96655	96440	96595
29 10 2020	16 30	96595	96675	96505	96645
29 10 2020	16 35	96650	96695	96600	96665
29 10 2020	16 40	96670	96730	96480	96510
29 10 2020	16 45	96515	96690	96490	96650
29 10 2020	16 50	96655	96895	96640	96840
29 10 2020	16 55	96835	96890	96645	96680
29 10 2020	17 00	96675	96700	96600	96625
29 10 2020	17 05	96625	96830	96620	96650
29 10 2020	17 10	96645	96720	96360	96515
29 10 2020	17 15	96515	96580	96420	96490
29 10 2020	17 20	96490	96515	96350	96355
29 10 2020	17 25	96360	96410	96290	96370
29 10 2020	17 30	96365	96390	96120	96155
29 10 2020	17 35	96150	96200	96025	96180
29 10 2020	17 40	96175	96180	96010	96015
29 10 2020	17 45	96015	96075	95825	95945
29 10 2020	17 50	95950	95990	95730	95815
29 10 2020	18 00	95765	95765	95765	95765
30 10 2020	9 00	95505	95835	95505	95795
30 10 2020	9 05	95795	95920	95680	95695
30 10 2020	9 10	95700	95755	95570	95570
30 10 2020	9 15	95570	95630	95350	95485
30 10 2020	9 20	95490	95560	95350	95560
30 10 2020	9 25	95560	95980	95555	95975
30 10 2020	9 30	95970	96035	95820	95910
30 10 2020	9 35	95915	95990	95850	95930
30 10 2020	9 40	95930	96095	95895	96090
30 10 2020	9 45	96095	96105	95985	96075
30 10 2020	9 50	96075	96245	95995	96220
30 10 2020	9 55	96220	96340	96160	96250
30 10 2020	10 00	96250	96265	95990	96095
30 10 2020	10 05	96090	96190	95930	95935
30 10 2020	10 10	95940	95940	95480	95485
30 10 2020	10 15	95485	95780	95400	95705
30 10 2020	10 20	95700	95930	95690	95775
30 10 2020	10 25	95775	95975	95540	95770
30 10 2020	10 30	95765	96070	95705	95755
30 10 2020	10 35	95760	96030	95625	96010
30 10 2020	10 40	96005	96005	95580	95600
30 10 2020	10 45	95605	95740	95140	95160
30 10 2020	10 50	95160	95450	95115	95420
30 10 2020	10 55	95420	95840	95405	95710
30 10 2020	11 00	95705	95875	95470	95840
30 10 2020	11 05	95840	95990	95785	95880
30 10 2020	11 10	95885	96020	95555	95650
30 10 2020	11 15	95650	95735	95300	95470
30 10 2020	11 20	95465	95565	95210	95245
30 10 2020	11 25	95250	95310	94970	95115
30 10 2020	11 30	95115	95310	94915	95210
30 10 2020	11 35	95215	95330	95035	95280
30 10 2020	11 40	95280	95285	95050	95080
30 10 2020	11 45	95080	95095	94715	94790
30 10 2020	11 50	94785	95100	94720	95085
30 10 2020	11 55	95085	95110	94780	94810
30 10 2020	12 00	94815	95130	94785	94920
30 10 2020	12 05	94920	94965	94580	94610
30 10 2020	12 10	94610	94970	94590	94935
30 10 2020	12 15	94935	94955	94705	94740
30 10 2020	12 20	94740	94825	94625	94825
30 10 2020	12 25	94825	94825	94535	94610
30 10 2020	12 30	94605	94655	94485	94610
30 10 2020	12 35	94610	94720	94515	94535
30 10 2020	12 40	94535	94540	94335	94400
30 10 2020	12 45	94400	94600	94325	94565
30 10 2020	12 50	94565	94665	94500	94640
30 10 2020	12 55	94640	94775	94490	94750
